NEOPLASMS OF SEMINAL VESICLES,CYSTADENOMA,ADENOCARCINOMA OF SEMINAL VESICLE,NEOPLASMS OF PROSTATE,LEIOMYOMA,STROMAL PROLIFERATION OF UNCERTAIN MALIGNANT POTENTIAL,STROMAL PROLIFERATION OF UNCERTAIN MALIGNANT POTENTIAL,STROMAL PROLIFERATION OF UNCERTAIN MALIGNANT POTENTIAL,STROMAL PROLIFERATION OF UNCERTAIN MALIGNANT POTENTIAL,RHABDOMYOSARCOMA,LEIOMYOSARCOMA,CARCINOMA,SMALL CELL CARCINOMA,FOAMY GLAND CARCINOMA,ATROPHIC CARCINOMA,UROTHELIAL CARCINOMA,SARCOMATOID CARCINOMA,DUCTAL ADENOCARCINOMA,DUCTAL ADENOCARCINOMA,DUCTAL ADENOCARCINOMA,BASALOID CARCINOMA,SQUAMOUS CELL CARCINOMA,SIGNET-RING CARCINOMA,PSEUDOHYPERPLASTIC CARCINOMA,MUCINOUS CARCINOMA,PROSTATE CARCINOMA,PROSTATIC STROMAL SARCOMA,SQUAMOUS NEOPLASM,PROSTATIC INTRAEPITHELIAL NEOPLASIA,HIGH-GRADE PROSTATIC INTRAEPITHELIAL NEOPLASIA,LOW-GRADE PROSTATIC INTRAEPITHELIAL NEOPLASIA,NON-NEOPLASTIC DISEASES OF PROSTATE,XANTHOMA,BLUE NEVUS,HYPERPLASIA,VERUMONTANUM MUCOSAL GLAND HYPERPLASIA,MESONEPHRIC REMNANT HYPERPLASIA,BENIGN PROSTATIC HYPERPLASIA,CRIBRIFORM CLEAR CELL HYPERPLASIA,BASAL CELL HYPERPLASIA,BASAL CELL HYPERPLASIA,MALAKOPLAKIA,ADENOSIS,ATROPHY,CYSTIC ATROPHY,POSTATROPHIC HYPERPLASIA,PARTIAL ATROPHY,SIMPLE ATROPHY,SCLEROSING ADENOSIS,NEPHROGENIC ADENOMA,PROSTATIC URETHRAL POLYP,PROSTATITIS,ACUTE PROSTATITIS,NONSPECIFIC GRANULOMATOUS PROSTATITIS,NONSPECIFIC GRANULOMATOUS PROSTATITIS,CHRONIC PROSTATITIS,POSTBIOPSY GRANULOMA,POSTBIOPSY GRANULOMA
,cyst,glands OR papillary projections OR infiltrative appearance,,bundled smooth muscle cells,cellular stroma,cellular stroma,cellular stroma,cellular stroma,rhabdomyoblastic cells,bundled smooth muscle cells,,uniform cells,foamy vacuolated cytoplasm,scant cytoplasm,malignant urothelial cells,spindle cells OR epithelioid cells,papillary projections,cribriform structures,single-gland pattern OR solid-sheet configuration,nested configuration,severe cytologic atypia,signet-ring-appearing cells,large glands,extracellular mucin,haphazard growth pattern,cellular stroma,NO cytologic atypia OR minimal cytologic atypia,,crowding of secretory cells,crowding of secretory cells,,clear vacuolated cytoplasm OR foamy vacuolated cytoplasm,pigmented spindle cells in stroma,,uniform acini,lobular configuration,proliferation of epithelial cells OR proliferation of stromal cells,cribriform spaces,nested configuration,nested configuration with empty lumina,infiltrative appearance,small glands,well-formed glands,well-formed glands,well-formed glands,well-formed glands,well-formed glands,small glands OR medium-sized glands,small tubules,papillary projections,,neutrophils in acini OR neutrophils around acini,nodular configuration,nodular configuration,lymphocytes around glands,granulomas,granulomas
,NO cellular stroma,enlarged nuclei,,NO mitoses OR rare mitoses,minimal cytologic atypia,NO cytologic atypia,hyerplastic glands,overgrowth of stroma,solid-sheet configuration,abundant mitoses OR frequent mitoses,,scant cytoplasm,small nuclei,infiltrative appearance,nuclear anaplasia,sarcomatoid component,fibrovacular cores,cribriform spaces,tall columnar cells,corded configuration,desmoplasia in stroma,clear vacuolated cytoplasm,papillary projections,cribriform pattern OR corded configuration OR acini OR tubules,infiltrative appearance,cytologic atypia,hyperplastic squamous cells,,irregular nuclear spacing,irregular nuclear spacing,,NO prominent nucleoli,PSA NEGATIVE,,round acini,small tubules,nodules in stroma,papillary projections,NO lumina,scant cytoplasm,macrophages,abundant cytoplasm,reduction in cytoplasmic volume of epithelial cells,reduction in cytoplasmic volume of epithelial cells,reduction in cytoplasmic volume of epithelial cells,reduction in cytoplasmic volume of epithelial cells,reduction in cytoplasmic volume of epithelial cells,cellular stroma OR edema in stroma,eosinophilic cytoplasm,acini,,cellular debris,granulomas,granulomas,plasma cells around glands,necrosis,necrosis
,focal hyalinization of stroma,hyperchromatic nuclei,,NO necrosis,well-formed glands,well-formed glands,leaf-like appearance,NO well-formed glands,nested configuration,necrosis,,hyperchromatic nuclei,hyperchromatic nuclei,atrophic glands,desmoplasia in stroma,,tall columnar cells,tall columnar cells,cytologic atypia,solid-sheet configuration,disorganized appearance,solid-sheet configuration OR clustered configuration OR single-cell configuration,papillary infolding,PSA POSITIVE,cribriform structures OR fused glands OR poorly delineated glands OR solid-sheet configuration OR corded configuration OR single-cell configuration,mitoses,NO disorganized appearance,,hyperchromatic nuclei,nuclear stratification,,NO glands,PSAP NEGATIVE,,small acini,scant cytoplasm,large acini OR small acini,clear cytoplasm,scant cytoplasm,hyperchromatic nuclei,lymphocytes,clear cytoplasm OR pale granular cytoplasm,distorted acini,distorted acini,distorted acini,distorted acini,distorted acini,clear cytoplasm OR eosinophilic cytoplasm,minimal cytologic atypia,NO cytologic atypia,,edema in stroma OR hyperemia of stroma,lymphocytes,lymphocytes,PSA POSITIVE,histiocytes,histiocytes
,inflammatory response,prominent nucleoli,,,NO overgrowth of stroma,NO overgrowth of stroma,,,,,,fine chromatin,crowded glands OR infiltrative appearance,moderate cytologic atypia OR severe cytologic atypia,nested configuration OR corded configuration OR single-cell configuration,,cytologic atypia,cytologic atypia,fibrosis OR inflammatory response OR hemosiderin deposition,infiltrative appearance,hyperplastic squamous cells,CK7 NEGATIVE,crowded glands,PSAP POSITIVE,small glands,necrosis,,,prominent nucleoli,enlarged nuclei,,histiocytes,CEA NEGATIVE,,NO prominent nucleoli,small acini OR nested configuration with empty lumina,papillary infolding OR papillary projections,uniform lumina,hyperchromatic nuclei,intracytoplasmic eosinophilic globules,plasma cells,fragmented layer of basal cells,infiltrative appearance,infiltrative appearance,infiltrative appearance,infiltrative appearance,infiltrative appearance,NO cytologic atypia,NO mitoses OR few mitoses,NO mitoses,,PSA POSITIVE,plasma cells,plasma cells,AE1-AE3 POSITIVE,multinucleated giant cells,multinucleated giant cells
,,,,,,,,,,,,frequent mitoses,P63 NEGATIVE,enlarged nuclei OR hyperchromatic nuclei,PSA NEGATIVE,,fibrosis OR inflammatory response OR hemosiderin deposition,fibrosis OR inflammatory response OR hemosiderin deposition,PSA POSITIVE,necrosis,PSA NEGATIVE,CK20 NEGATIVE,prominent nucleoli,,pale cytoplasm OR amphophilic cytoplasm,overgrowth of stroma,,,uniform nuclei,pleomorphic nuclei,,CD68 POSITIVE,S-100 POSITIVE IN PIGMENTED SPINDLE CELLS,,intraluminal corpora amylacea OR brown-orange concretions,colloid-like secretion,tall columnar cells,round lumina,intracytoplasmic eosinophilic globules,multiple layers of basal cells,michaelis-gutmann body,PSA POSITIVE FOCAL,scant cytoplasm,scant cytoplasm,scant cytoplasm,scant cytoplasm,scant cytoplasm,myoepithelial cells in basal cell lining,AMACR POSITIVE IN CYTOPLASM,PSA POSITIVE,,AE1-AE3 POSITIVE,eosinophils,eosinophils,LCA POSITIVE IN INFLAMMATORY RESPONSE,eosinophils,lymphocytes OR plasma cells
,,,,,,,,,,,,NO prominent nucleoli,,,PSAP NEGATIVE,,PSA POSITIVE,PSA POSITIVE,PSAP POSITIVE,desmoplasia in stroma,PSAP NEGATIVE,HMWCK NEGATIVE,P63 NEGATIVE,,enlarged nuclei,,,,enlarged nuclei,NO prominent nucleoli,,AE1-AE3 NEGATIVE,,,PSA POSITIVE IN MUCOSAL GLANDS,NO prominent nucleoli,pale granular cytoplasm,NO prominent nucleoli,HMWCK POSITIVE IN BASAL CELLS,HMWCK POSITIVE IN BASAL CELLS,VON KOSSA POSITIVE IN MICHAELIS-GUTMANN BODY,PSAP POSITIVE FOCAL,crowded nuclei,crowded nuclei,crowded nuclei,crowded nuclei,crowded nuclei,thick eosinophilic basement membrane,PSA POSITIVE FOCAL,PSAP POSITIVE,,LCA POSITIVE IN INFLAMMATORY RESPONSE,histiocytes,histiocytes,,,
,,,,,,,,,,,,,,,CK7 POSITIVE,,PSAP POSITIVE,PSAP POSITIVE,HMWCK NEGATIVE,,HMWCK POSITIVE,,,,hyperchromatic nuclei,,,,fragmented layer of basal cells OR NO basal cells,,,PSA NEGATIVE,,,HMWCK POSITIVE IN BASAL CELLS,PAS POSITIVE IN SECRETION,HMWCK POSITIVE IN BASAL CELLS,small nuclei,P63 POSITIVE IN BASAL CELLS,P63 POSITIVE IN BASAL CELLS,PAS-D POSITIVE IN MICHAELIS-GUTMANN BODY,DISCONTINUOUS HMWCK POSITIVE IN BASAL CELLS OR DISCONTINUOUS P63 POSITIVE IN BASAL CELLS,HMWCK POSITIVE IN BASAL CELLS,dilated acini,atrophic acini,lobular configuration OR diffuse appearance OR disorganized appearance,small glands in nested configuration,HMWCK POSITIVE IN BASAL CELLS,PSAP POSITIVE FOCAL,,,,neutrophils,dilated ducts OR dilated acini,,,
,,,,,,,,,,,,,,,CK20 POSITIVE,,HMWCK NEGATIVE,HMWCK NEGATIVE,,,P63 POSITIVE,,,,prominent nucleoli,,,,AE1-AE3 POSITIVE,,,PSAP NEGATIVE,,,S-100 NEGATIVE,ALCIAN BLUE POSITIVE IN SECRETION,P63 POSITIVE IN BASAL CELLS,nodular configuration,PSA POSITIVE FOCAL,PSA POSITIVE FOCAL,PSA NEGATIVE,,P63 POSITIVE IN BASAL CELLS,NO papillary infolding,small acini,NO basophilic appearance,HMWCK POSITIVE IN BASAL CELLS,MSA POSITIVE IN BASAL CELLS,,,,,fibrosis,cellular debris,,,
,,,,,,,,,,,,,,,HMWCK POSITIVE,,,,,,,,,,,,,,PSA POSITIVE,,,,,,,PSA NEGATIVE,CK5-6 POSITIVE IN BASAL CELLS,focal prominent basal cells,PSAP POSITIVE FOCAL,PSAP POSITIVE FOCAL,PSAP NEGATIVE,,,glands with sharp luminal border,dilated ducts,papillary infolding,P63 POSITIVE IN BASAL CELLS,S-100 POSITIVE IN BASAL CELLS,,,,,AE1-AE3 NEGATIVE,neutrophils in ducts OR neutrophils in acini,,,
