PRURIGO NODULARIS,CONFLUENT AND RETICULATE PAPILLOMATOSIS,CALLUS,ACTINIC CHEILITIS,ACANTHOLYTIC ACANTHOMA,DERMATOSIS PAPULOSA NIGRA INFLAMED,BOWENS DISEASE,NEVUS COMEDONICUS,EPIDERMAL NEVUS,INFLAMMATORY LINEAR VERRUCOUS EPIDERMAL NEVUS,MELANOACANTHOMA,ACANTHOSIS NIGRICANS,CLAVUS,PUNCTATE KERATOSIS,DOWLING-DEGOS DISEASE,ACANTHOMA FISSURATUM,DERMATOSIS PAPULOSA NIGRA,CARCINOSARCOMA,NEVUS COMEDONICUS RUPTURED,EPIDERMOLYTIC ACANTHOMA,CLEAR-CELL ACANTHOMA,ACTINIC KERATOSIS,STUCCO KERATOSIS,CUTANEOUS HORN,WARTY DYSKERATOMA,INTRAEPITHELIAL EPITHELIOMA,SEBORRHEIC KERATOSIS,SEBORRHEIC KERATOSIS ACANTHOTIC,SEBORRHEIC KERATOSIS CLONAL,SEBORRHEIC KERATOSIS HYPERKERATOTIC,SEBORRHEIC KERATOSIS INFLAMED,SEBORRHEIC KERATOSIS MACULAR,SEBORRHEIC KERATOSIS PEDUNCULATED,SEBORRHEIC KERATOSIS RETICULATED,FAMILIAL DYSKERATOTIC COMEDONES,LARGE-CELL ACANTHOMA,ERYTHROPLASIA OF QUERYAT,KERATOACANTHOMA,ARSENICAL KERATOSIS,CARCINOMA,VERRUCOUS CARCINOMA BUSCHKE-LOEWENSTEIN TUMOR,SQUAMOUS CELL CARCINOMA,SQUAMOUS CELL CARCINOMA NOS,SUBCUTANEOUS SQUAMOUS CELL CARCINOMA,SPINDLE CELL SQUAMOUS CELL CARCINOMA,SIGNET RING SQUAMOUS CELL CARCINOMA,PSEUDOVASCULAR SQUAMOUS CELL CARCINOMA,ACANTHOLYTIC SQUAMOUS CELL CARCINOMA,PLANTAR VERRUCOUS CARCINOMA,ORAL VERRUCOUS CARCINOMA,MUCOEPIDERMOID CARCINOMA,LYMPHOEPITHELIOMA-LIKE CARCINOMA,BASAL CELL CARCINOMA,BASAL CELL CARCINOMA FIBROEPITHELIOMA OF PINKUS,INFILTRATIVE BASAL CELL CARCINOMA,KERATOTIC INFUNDIBULOCYSTIC BASAL CELL CARCINOMA,METATYPICAL BASAL CELL CARCINOMA,NODULAR BASAL CELL CARCINOMA,SUPERFICIAL BASAL CELL CARCINOMA,ADENOSQUAMOUS CARCINOMA
hyperkeratosis,papillomatosis,hyperkeratosis,acanthosis,acantholysis,acanthosis OR reticulation,acanthosis,invagination of epidermis,irregular epidermal hyperkeratosis,hyperkeratosis,acanthosis,papillomatosis,concave cup-shaped depression,wedge-shaped hyperkeratotic cutaneous plug,mild hyperkeratosis,longitudinal depression in epidermis,acanthosis OR reticulation,basaloid proliferation OR squamoid proliferation,invagination of epidermis,hyperkeratosis,acanthosis,hyperkeratosis,papillomatosis,compact stratum corneum,invagination of epidermis,hyperkeratosis,squamoid proliferation,squamoid proliferation,squamoid proliferation,squamoid proliferation,squamoid proliferation,squamoid proliferation,squamoid proliferation,squamoid proliferation,dilated follicle-like structure,well-circumscribed,marked cytologic atypia of keratinocytes,epithelial lips,compact hyperkeratosis,,hyperplastic epithelial proliferation OR exophytic epithelial proliferation,,aggregates of atypical epithelial cells in dermis,aggregates of atypical epithelial cells in dermis,spindle cell proliferation,atypical nuclei,atypical keratinocytes,lobules of atypical keratinocytes OR nests of atypical keratinocytes,exophytic epithelial proliferation OR endophytic epithelial proliferation,hyperkeratosis,polygonal squamous cells,aggregates of atypical epithelial cells in dermis,,aggregates of basaloid cells,small aggregates of basaloid cells,keratin-filled cyst,eosinophilic aggregates of basaloid cells,small aggregates of basaloid cells OR large aggregates of basaloid cells,small aggregates of basaloid cells,atypical keratinizing squamous cells
hypergranulosis,hyperkeratosis,parakeratosis,hyperkeratosis,hyperkeratosis,hyperpigmentation in basal layer,hyperkeratosis,mild papillomatosis,papillomatosis,parakeratosis,well-circumscribed,moderate hyperkeratosis,hyperkeratosis,parakeratosis,minimal thinning of epidermis,inflammatory debris OR hyperkeratotic debris,hyperpigmentation in basal layer,atypical spindle-shaped cells,mild papillomatosis,large course basophilic granules in granular layer,clear-cell changes,parakeratotic nuclei,hyperkeratosis,lamellated stratum corneum,hyperkeratotic debris,acanthosis,basaloid proliferation,basaloid proliferation,basaloid proliferation,basaloid proliferation,basaloid proliferation,basaloid proliferation,basaloid proliferation,basaloid proliferation,laminated keratin,enlarged keratinocytes,atypical mitoses of keratinocytes,hypergranulosis,perivascular inflammatory infiltrate,,crypts OR sinuses,,focal acantholysis OR spindle cell proliferation,mitoses of keratinocytes OR premature cornification,mitoses of keratinocytes,signet ring appearance,pseudovascular spaces,acantholysis,crypts OR sinuses,orthokeratosis,goblet cells,vesicular nuclei,,palisading basaloid cells forming elongated strands in dermis,poor peripheral palisading,reticuloid basaloid cells,poor peripheral palisading,peripheral palisading,peripheral palisading,glandular appearance
psoriasiform hyperplasia OR pseudoepitheliomatous pattern,parakeratosis,concave cup-shaped depression,parakeratosis,parakeratosis,polypoid-shaped lesion,mild psoriasiform hyperplasia OR moderate psoriasiform hyperplasia,atrophy of sebaceous glands,hypergranulosis,hypogranulosis,symmetrical,minimal thinning of epidermis,parakeratosis,perivascular inflammatory infiltrate,downward projection of rete ridges,acanthosis,polypoid-shaped lesion,peripheral palisading,atrophy of sebaceous glands,vacuolated keratinocytes,psoriasiform hyperplasia,moderate cytologic atypia of keratinocytes OR marked cytologic atypia of keratinocytes,NO parakeratosis,,suprabasal acantholysis with villi OR acantholysis,mild papillomatosis,hyperkeratosis,mild hyperkeratosis,mild hyperkeratosis,hyperkeratosis,hyperkeratosis,mild hyperkeratosis,mild hyperkeratosis,hyperkeratosis,acantholysis,enlarged nuclei,dyskeratosis,hyperkeratosis,NO solar elastosis,,hypergranulosis,,keratin pearl formation OR mitoses of keratinocytes OR premature cornification,,marked cytologic atypia of keratinocytes,eosinophilic globule,erythrocytes in pseudovascular spaces,premature cornification,hyperkeratosis,large cells,cytologic atypia of keratinocytes,vacuolated cytoplasm,,mucin,minimal stromal retraction,mitoses of keratinocytes OR mucin,minimal stromal retraction,stromal retraction,stromal retraction,NO goblet cells
perivascular inflammatory infiltrate,acanthosis,hypergranulosis,mild cytologic atypia of keratinocytes OR moderate cytologic atypia of keratinocytes,acanthosis,spongiosis OR scale-crust OR exocytosis OR lymphocytic perivascular inflammatory infiltrate,marked cytologic atypia of keratinocytes,rudimentary hair bulbs,hyperpigmentation in basal layer,hypergranulosis,pigmentation in melanocytes,minimal hyperpigmentation in basal layer,decreased spinous layer,dilated blood vessels,hyperpigmentation in basal layer,hyperkeratosis,,stromal retraction,rudimentary hair bulbs,fine eosinophilic granules in spinous layer OR fine eosinophilic strands in spinous layer OR fine eosinophilic granules in granular layer OR fine eosinophilic strands in granular layer,fused rete ridges,spongiosis,NO horn pseudocyst,,dyskeratosis,intraepidermal proliferation of nests of keratinocytes,papillomatosis,mild papillomatosis,papillomatosis,papillomatosis,papillomatosis,papillomatosis,papillomatosis,papillomatosis,dyskeratosis,mild hyperkeratosis,NO polarity of epidermis,eosinophilic cutaneous plugs OR parakeratotic cutaneous plugs,mild cytologic atypia of keratinocytes OR moderate cytologic atypia of keratinocytes,,well-circumscribed,,lymphocytic inflammatory infiltrate OR plasma cell inflammatory infiltrate,,,paranuclear clear zone,frequent mitoses of keratinocytes,free floating atypical keratinocytes,parakeratosis,mitoses of keratinocytes,mitoses of keratinocytes,mitoses of keratinocytes,,fibrosis in dermis,fibrosis in dermis OR mucin,NO stromal retraction,keratin pearl formation OR mitoses of keratinocytes OR premature cornification,mitoses of keratinocytes,mucin,NO signet ring cells
mild fibrosis in papillary dermis,hyperpigmentation in basal layer,accentuated spinous layer,solar elastosis OR telangiectasias,symmetrical,,dyskeratosis,compact keratin,mild perivascular inflammatory infiltrate,papillomatosis,melanophages in dermis,mild perivascular inflammatory infiltrate,hypogranulosis,,,parakeratosis,,fibrosis in dermis OR mucin,granulomatous inflammatory infiltrate,,isolated neutrophils in epidermis,basal keratinocytes in dermis,NO hyperpigmentation in basal layer,,corp ronds OR grains,mild cytologic atypia of keratinocytes OR moderate cytologic atypia of keratinocytes,horn pseudocyst,horn pseudocyst,horn pseudocyst,horn pseudocyst,horn pseudocyst,horn pseudocyst,horn pseudocyst,horn pseudocyst,suprabasalar clefts,NO parakeratosis,plasma cell inflammatory infiltrate,entrapped collagen OR entrapped elastic fibers,,,mitoses of keratinocytes,,,,,nuclear displacement,,,mitoses of keratinocytes,,,prominent nucleoli,,glandular appearance,basaloid cells in dermis,,,necrosis OR apoptosis OR calcification OR mucin,,mucin
,downward projection between rete ridges,,,well-circumscribed,,atypical mitoses of keratinocytes,lamellated keratin,,psoriasiform hyperplasia,,,,,,lymphocytic perivascular inflammatory infiltrate,,,scar,,NO pigmentation,perivascular inflammatory infiltrate,NO cytologic atypia of keratinocytes,,,dyskeratosis clefts,,smooth dome-shaped lesion,acanthosis,acanthosis,exocytosis OR apoptosis OR acantholysis OR scale-crust OR spongiosis OR trichilemmal keratinization,mild acanthosis,attenuated collagen in dermis,reticulation,few corp ronds OR few grains,bulbous rete ridges,,horn pearls OR neutrophilic microabscess OR eosinophilic microabscess,,,koilocyte-like changes,,,,,,,,,,,lymphocytic inflammatory infiltrate OR plasma cell inflammatory infiltrate,,,poorly circumscribed,,,,,
,,,,,,NO polarity of epidermis,,,exocytosis,,,,,,eosinophilic perivascular inflammatory infiltrate,,,compact keratin,,,solar elastosis,,,,,,flat bottom at base of lesion,nesting pattern,laminated stratum corneum,,flat bottom at base of lesion,dilated blood vessels,elongated epithelium,NO pilosebaceous structures,minimal hyperpigmentation in basal layer,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,microabscess,,,,,,plasma cell perivascular inflammatory infiltrate,,,lamellated keratin,,,,,,,,,,,interdigitated stratum corneum,,,acanthosis,,,solar elastosis OR telangiectasias,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,lymphocytic perivascular inflammatory infiltrate,,,,,,mild fibrosis in dermis,,,,,,,,,,,,,,,,,hyperpigmentation in epidermis,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,interface reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
